# sample-input/manta.test.vcf.gz	sample-input/smoove.test.vcf.gz
vcf-file1	vcf-file2
manta-3538	smoove-8166
manta-3544	smoove-8171
manta-3553	smoove-8181
manta-3559	smoove-8188
manta-3566	smoove-8194
manta-3568	smoove-8195
manta-3575	smoove-8221
manta-3577	smoove-8232
manta-3578	smoove-8244
manta-3581	smoove-8248
manta-3589	smoove-8287
manta-3590	smoove-8288
manta-3591	smoove-8294
manta-3592	smoove-8298
manta-3593	smoove-8303
manta-3597	smoove-8318
manta-3605	smoove-8340
manta-3606	smoove-8341
manta-3610	smoove-8354
manta-3614	smoove-8363
manta-3616	smoove-8372
manta-3617	smoove-8373
manta-3622	smoove-8377
manta-3625	smoove-8381
manta-3634	smoove-8406
manta-3640	smoove-8411
manta-3643	smoove-8414
manta-3644	smoove-8416
manta-3656	smoove-8430
manta-3658	smoove-8436
manta-3659	smoove-8437
manta-3668	smoove-8456
manta-3672	smoove-8474
manta-3675	smoove-8493
manta-3676	smoove-8497
manta-3682	smoove-8514
manta-3683	smoove-8519
manta-3684	smoove-8520
manta-3686	smoove-8523
manta-3688	smoove-8528
manta-3693	smoove-8536
manta-3694	smoove-8537
manta-3695	smoove-8538
manta-3698	smoove-8544
manta-3699	smoove-8546
manta-3700	smoove-8547
manta-3703	smoove-8555
manta-3707	smoove-8565
manta-3708	smoove-8566
manta-3712	smoove-8581
manta-3713	smoove-8582
manta-3716	smoove-8591
manta-3719	smoove-8593
manta-3724	smoove-8606
manta-3726	smoove-8620
manta-3730	smoove-8632
manta-3731	smoove-8637
manta-3732	smoove-8642
manta-3733	smoove-8643
manta-3736	smoove-8648
manta-3740	smoove-8664
manta-3741	smoove-8665
manta-3742	smoove-8669
manta-3743	smoove-8670
manta-3746	smoove-8678
manta-3748	smoove-8680
manta-3750	smoove-8685
manta-3753	smoove-8688
manta-3754	smoove-8690
manta-3755	smoove-8693
manta-3761	smoove-8714
manta-3762	smoove-8715
manta-3765	smoove-8719
manta-3766	smoove-8720
manta-3767	smoove-8721
manta-3768	smoove-8724
manta-3769	smoove-8727
manta-3770	smoove-8728
manta-3771	smoove-8733
manta-3773	smoove-8737
manta-3777	smoove-8751
manta-3778	smoove-8752
manta-3784	smoove-8757
manta-3787	smoove-8768
manta-3791	smoove-8772
manta-3793	smoove-8776
manta-3794	smoove-8777
manta-3795	smoove-8780
manta-3796	smoove-8787
manta-3798	smoove-8791
manta-3801	smoove-8798
manta-3805	smoove-8801
manta-3806	smoove-8804
manta-3807	smoove-8806
manta-3808	smoove-8808
manta-3809	smoove-8810
manta-3812	smoove-8820
manta-3813	smoove-8822
manta-3814	smoove-8824
manta-3815	smoove-8826
manta-3816	smoove-8828
manta-3817	smoove-8830
manta-3818	smoove-8832
manta-3819	smoove-8834
manta-3825	smoove-8848
manta-3829	smoove-8861
manta-3834	smoove-8869
manta-3835	smoove-8876
manta-3837	smoove-8892
manta-3840	smoove-8896
manta-3849	smoove-8906
manta-3853	smoove-8915
manta-3856	smoove-8918
manta-3857	smoove-8920
manta-3860	smoove-8922
manta-3864	smoove-8929
manta-3865	smoove-8931
manta-3866	smoove-8937
manta-3867	smoove-8944
manta-3868	smoove-8946
manta-3871	smoove-8950
manta-3872	smoove-8952
manta-3875	smoove-8957
manta-3876	smoove-8959
manta-3877	smoove-8966
manta-3881	smoove-8986
manta-3887	smoove-8994
manta-3892	smoove-9000
manta-3893	smoove-9001
manta-3894	smoove-9005
manta-3899	smoove-9022
manta-3902	smoove-9028
manta-3911	smoove-9042
manta-3912	smoove-9044
manta-3915	smoove-9048
manta-3916	smoove-9051
manta-3921	smoove-9071
manta-3922	smoove-9074
manta-3934	smoove-9094
manta-3935	smoove-9095
manta-3957	smoove-9127
manta-3958	smoove-9129
manta-3959	smoove-9136
manta-3960	smoove-9139
manta-3962	smoove-9142
manta-3963	smoove-9145
manta-3966	smoove-9154
manta-3969	smoove-9155
manta-3970	smoove-9162
manta-3971	smoove-9165
manta-3973	smoove-9167
manta-3980	smoove-9182
manta-3981	smoove-9183
manta-3983	smoove-9185
manta-3985	smoove-9192
manta-3993	smoove-9207
manta-3999	smoove-9219
manta-4000	smoove-9226
manta-4001	smoove-9231
manta-4002	smoove-9232
manta-4004	smoove-9235
manta-4013	smoove-9252
manta-4014	smoove-9255
manta-4019	smoove-9268
manta-4023	smoove-9283
manta-4025	smoove-9285
manta-4027	smoove-9291
manta-4028	smoove-9292
manta-4033	smoove-9305
manta-4035	smoove-9308
manta-4037	smoove-9309
manta-4040	smoove-9323
manta-4041	smoove-9324
manta-4047	smoove-9358
manta-4048	smoove-9367
manta-4050	smoove-9370
manta-4051	smoove-9372
manta-4052	smoove-9377
manta-4053	smoove-9379
manta-4054	smoove-9380
manta-4055	smoove-9382
manta-4057	smoove-9387
manta-4060	smoove-9393
manta-4061	smoove-9397
manta-4063	smoove-9399
manta-4064	smoove-9401,smoove-9402
manta-4069	smoove-9418
manta-4071	smoove-9421
manta-4072	smoove-9425
manta-4073	smoove-9428
manta-4077	smoove-9435
manta-4078	smoove-9439
manta-4082	smoove-9461
manta-4084	smoove-9467
manta-4088	smoove-9486
manta-4089	smoove-9487
manta-4093	smoove-9494
manta-4096	smoove-9498
manta-4098	smoove-9501
manta-4101	smoove-9505
manta-4103	smoove-9510
manta-4104	smoove-9513
manta-4112	smoove-9534
manta-4114	smoove-9539
manta-4118	smoove-9549
manta-4130	smoove-9561
manta-4131	smoove-9562
manta-4132	smoove-9564
manta-4135	smoove-9571
manta-4136	smoove-9572
manta-4140	smoove-9575
manta-4145	smoove-9584
manta-4146	smoove-9585
manta-4150	smoove-9592
manta-4152	smoove-9604
manta-4155	smoove-9610
manta-4156	smoove-9614
manta-4158	smoove-9616
manta-4163	smoove-9642
manta-4164	smoove-9644
manta-4169	smoove-9654
manta-4171	smoove-9656
manta-4172	smoove-9658
manta-4174	smoove-9664
manta-4175	smoove-9667
manta-4179	smoove-9676
manta-4181	smoove-9678
manta-4184	smoove-9683
manta-4187	smoove-9686
manta-4188	smoove-9687
manta-4189	smoove-9693
manta-4199	smoove-9752
manta-4201	smoove-9772
manta-4203	smoove-9777
manta-4208	smoove-9793
manta-4211	smoove-9805
manta-4216	smoove-9814,smoove-9815
manta-4221	smoove-9831
manta-4225	smoove-9835
manta-4230	smoove-9850
manta-4231	smoove-9855
manta-4233	smoove-9868
manta-4236	smoove-9881
manta-4239	smoove-9889
manta-4241	smoove-9895
manta-4244	smoove-9899
manta-4245	smoove-9904
manta-4249	smoove-9922
manta-4256	smoove-9941
manta-4267	smoove-9962
manta-4272	smoove-9970
manta-4275	smoove-9974
manta-4276	smoove-9975
manta-4281	smoove-9985
manta-4282	smoove-9988
manta-4283	smoove-9990
